serie,numero,idioma,url,filename,status,message
Documento de posición,27,ENG,https://www.palermo.edu/Archivos_content/2025/cele/mayo/dp27.pdf,Documento_de_posición_27_ENG.pdf,saved,saved
Documento de posición,26,ENG,https://www.palermo.edu/Archivos_content/2025/cele/mayo/25_05_2025_DP_26.pdf,Documento_de_posición_26_ENG.pdf,saved,saved
Artículo de investigación,67,ESP,https://www.palermo.edu/Archivos_content/2025/cele/junio/05_2025_AI_67_.pdf,Artículo_de_investigación_67_ESP.pdf,saved,saved
Artículo de investigación,66,ENG,https://www.palermo.edu/Archivos_content/2025/cele/julio/ssrn-5265938%20(1).pdf,Artículo_de_investigación_66_ENG.pdf,saved,saved
Artículo de investigación,63,ENG,https://www.palermo.edu/Archivos_content/2025/cele/abril/2025_04_24_Regulatory_Modeling.pdf,Artículo_de_investigación_63_ENG_01.pdf,saved,saved
Artículo de investigación,65,ENG,,Artículo_de_investigación_65_ENG.pdf,skipped,blank Link
Documento de posición,25,ESP,https://www.palermo.edu/Archivos_content/2025/cele/abril/2025_04_08_CELE_MESECVI.pdf,Documento_de_posición_25_ESP.pdf,saved,saved
Informe legislativo,14,,https://observatoriolegislativocele.com/wp-content/uploads/Informe-legislativo-14-Colombia.pdf,Informe_legislativo_14.pdf,failed,HTTP Error 404: Not Found
Informe legislativo,13,,https://observatoriolegislativocele.com/wp-content/uploads/Informe-legislativo-13-Brasil.pdf,Informe_legislativo_13_01.pdf,failed,HTTP Error 404: Not Found
Informe legislativo,13,,https://observatoriolegislativocele.com/wp-content/uploads/ley-medios-uruguay-1-3.pdf,Informe_legislativo_13_02.pdf,saved,saved
Informe legislativo,12,,https://observatoriolegislativocele.com/wp-content/uploads/240731-chile-proyecto-de-ley.pdf,Informe_legislativo_12_01.pdf,saved,saved
,,,,missing_missing_01.pdf,skipped,blank Link
11,,"CELE, “La penalización de actos de blasfemia en Dinamarca.",,"11_missing_CELE,_“La_penalización_de_actos_de_blasfemia_en_Dinamarca.pdf",skipped,blank Link
,,,,missing_missing_02.pdf,skipped,blank Link
Informe legislativo,10,,https://observatoriolegislativocele.com/wp-content/uploads/Informe-legislativo-10_2023.pdf,Informe_legislativo_10.pdf,saved,saved
Artículo de investigación,64,ESP,https://www.palermo.edu/Archivos_content/2025/cele/febrero/AI_64_ESP.pdf,Artículo_de_investigación_64_ESP.pdf,saved,saved
Artículo de investigación,64,ENG,https://www.palermo.edu/Archivos_content/2025/cele/febrero/AI64.pdf,Artículo_de_investigación_64_ENG.pdf,saved,saved
Trabajos publicados,,,,Trabajos_publicados_missing_04.pdf,skipped,blank Link
Informe de jurisprudencia,1,,https://observatoriolegislativocele.com/wp-content/uploads/250122-jurisprudencia-casos-controvertidos.pdf,Informe_de_jurisprudencia_1.pdf,saved,saved
Documento de posición,24,,https://www.palermo.edu/Archivos_content/2025/cele/enero/2025-01-14-DP24-CELE.pdf,Documento_de_posición_24.pdf,saved,saved
Documento de posición,23,,https://www.palermo.edu/Archivos_content/2025/cele/enero/2025_01_20_DP23_.pdf,Documento_de_posición_23.pdf,saved,saved
Artículo de investigación,CANCEL,,https://www.giga-net.org/wp-content/uploads/2023/10/regulatory_threats_v7.pdf,Artículo_de_investigación_CANCEL.pdf,saved,saved
Artículo de investigación,63,ESP,https://www.palermo.edu/Archivos_content/2025/cele/abril/2025_04_24_Regulatory_Modeling.pdf,Artículo_de_investigación_63_ESP.pdf,saved,saved
Documento de posición,22,ENG,https://www.palermo.edu/Archivos_content/2024/cele/diciembre/2024_12_10_DP22_CELE%20(1).pdf,Documento_de_posición_22_ENG.pdf,saved,saved
